NEIGHBORHOOD,BOROUGH,BLOCK,LOT,MULTI-LOT,DATE,PRICE,LOT AREA,LOT FRONTAGE,LOT TYPE,ZONING 1,ZONING 2,OVERLAY 1,OVERLAY 2,SPECIAL DISTRICT,MIH/VIH,BASE FAR,BASE ZFA,PPZFA
Melrose,The Bronx,"2380, 2379","35, 45",Yes,45378,7422118,12492,224,Interior ,R7-2 ,C1-4,R8,,,,7.2,74125,58
East New York,Brooklyn,4434,10,No,45378,4315000,68457,525,Corner,R7-2 ,C2-4,,,,,3.44,235492,59
Mount Hope,The Bronx,2853,"12,15",Yes,45378,13935618,10852,126.69,Interior,C4-4D ,,,,J,MIH,7.2,78070,95
Crown Heights,Brooklyn,1175,32,No,45378,1175000,2620,20,Interior,R6B,,,,,,2,5230,225
Corona,Queens,1943,"12, 15",Yes,45377,1500000,7132,71.32,Interior,R5,,,,,,1.25,8915,222
Flatbush,Brooklyn,5138,54,No,45377,1980000,2496,25,Interior,R6 ,C2-3,,,,,3,6664,225
Mount Eden,The Bronx,2791,11,No,45372,6700000,6650,70,Interior,R8,,,,,,6.02,40033,72
Hell's Kitchen,Manhattan,1074,63,No,45372,2900000,27019,293.17,Through,R8 ,R8A,C2-5,,CL,VIH,5.40/4.20,134586,247
Williamsburg,Brooklyn,2250,46,No,45372,33200000,5000,50,Interior,R7A,,,,,VIH,3.45,17250,388
Jamaica,Queens,9834,"1, 3, 5, 10, 6, 8",Yes,45371,7500000,22497,442.87,Corner,R7A ,,C2-4,,DJ,VIH,3.45,77615,97
Chinatown,Manhattan,297,"28, 29",Yes,45371,5325000,2989,42.42,Interior,C6-2,,,,,,6.02,17994,296
Garment District,Manhattan,784,17,No,45369,15000000,4509,45.66,Interior,C6-4M,,,,,,10,45090,333
Middle Village,Queens,3070,3,No,45366,1850000,8700,58,Interior,R5 ,,C2-4,,,,1.25,10875,170
Borough Park,Brooklyn,5368,7,No,45365,2065500,2741,153.56,Corner,R6,,,,,,3,8223,251
Fordham,The Bronx,3171,11,No,45362,1944000,6098,50,Interior,R8,,,,,,6.02,36710,53
Cobble Hill,Brooklyn,408,8,No,45358,1950000,1718,24.08,Interior,R6A ,,C2-4,,,,3,5154,378
Downtown Brooklyn,Brooklyn,121,"36, 37",Yes,45356,2500000,3970,45,Interior,R6B,,,,,,2,7940,315
Rockaway Park,Queens,16188,28,No,45351,14400000,32000,320,Through,R7A,,,,,,4,128000,113
Gowanus,Brooklyn,440,29,No,45350,4000000,3600,40,Interior,M1-4 ,R6A,,,G,MIH,3.6,12960,309
Bergen Beach,Brooklyn,8446,"31, 54, 49",Yes,45349,5900000,109838,950,Corner,M1-1,,,,,,1,109838,151
Borough Park,Brooklyn,5509,"64, 62",Yes,45349,16600000,7174,71.5,Interior,R7A,,C2-4,,,MIH,1,7174,822
Gramercy,Manhattan,876,"29, 30, 31, 32",Yes,45349,72462854,6900,167,Corner,C1-9A,,,,,,10,80813,897
Williamsburg,Brooklyn,3032,"18, 17",Yes,45348,4000000,5000,150,Corner,R6B,,,,,,2,10000,400
Vinegar Hill,Brooklyn,55,"9, 10",Yes,45346,1529500,4444,50,Interior,R6A ,,C2-4,,,,3,13332,115
Gowanus,Brooklyn,471,200,No,45344,2600000,165840,773,Corner,M1-4/R7-2 ,,,,G,MIH,4.4,736500,104
Hunters Point,Queens,428,1,No,45344,3600000,33950,544,Corner,M1-5/R9 ,,,,LIC,,8,255000,225
Hunters Point,Queens,15,44,No,45344,57500000,6000,160,Corner,M1-4,R6B,,,LIC,,2,12000,300
Park Slope,Brooklyn,964,23,No,45344,76500000,3200,25,Interior,R6B,,,,,,2,6400,406
